Complexity	Time	Predicted
6.74064e+06	2	156.018
1.51664e+07	1	156.026
9.66823e+07	5	156.101
4.58126e+07	14	156.054
4.82681e+08	13	156.459
8.77952e+07	4	156.093
3.4347e+07	11	156.043
5.76108e+08	19	156.545
5.81573e+09	58	161.397
1.0762e+09	20	157.008
1.2452e+09	33	157.165
1.05477e+10	94	165.778
7.05116e+09	81	162.541
4.8668e+09	54	160.518
1.26963e+10	99	167.768
4.32e+08	148	156.412
2.03843e+09	54	157.899
4.59366e+08	11	156.437
1.58607e+08	54	156.158
2.20509e+09	30	158.053
1.39565e+09	25	157.304
1.96281e+10	151	174.186
8.53564e+09	65	163.915
4.1679e+10	200	194.604
1.01051e+10	94	165.368
2.12657e+11	538	352.919
3.92017e+09	42	159.641
3.15468e+11	688	448.116
5.34274e+10	231	205.482
4.5404e+11	951	576.425
7.12119e+09	60	162.605
6.70195e+11	1257	776.572
1.09193e+11	329	257.118
1.83227e+11	485	325.669
1.18638e+08	36	156.121
1.15291e+10	121	166.687
1.99066e+09	35	157.855
3.42727e+11	701	473.356
4.54409e+11	764	576.767
2.4392e+11	769	381.867
1.06583e+11	372	254.701
3.14201e+11	683	446.943
1.44201e+11	406	289.533
1.45983e+12	1563	1507.73
1.18143e+10	89	166.951
9.88656e+11	1263	1071.45
9.4795e+11	1700	1033.76
1.5325e+12	1619	1575.01
3.27289e+11	502	459.061
3.66849e+12	3013	3552.81

Linear Regression: y = 9.2594e-10x + 156.012
